Q8NF67	PF14915;
Q9UNA4	PF00817;PF11799;
Q9UKI9	PF00046;PF00157;
P49335	PF00046;PF00157;
Q06830	PF10417;PF00578;
B7ZBB8	PF03370;
A6NIE9	PF00089;
Q96M27	PF01931;
O43172	PF08799;PF00400;
Q15257	PF03095;
Q14761	PF15713;
Q8WV60	PF10037;
O15541	PF00642;
Q15042	PF13890;
Q96E17	PF00071;
P54727	PF00627;PF00240;PF09280;
P50120	PF00061;
Q9HD89	PF06954;
Q8IZV5	PF00106;
Q9NYR8	PF00106;
Q7Z4M0	PF15165;
Q6ZUM4	PF00169;PF00620;PF00397;
O75678	PF13765;PF11002;PF00622;
Q14699	PF15250;
Q3KRB8	PF00620;
Q8HWS3	PF02257;
Q9H4K1	PF05914;
Q9C0H5	PF00784;PF00620;
P13489	PF13516;PF18779;
Q6NTF9	PF01694;
O60518	PF02985;PF18808;PF18829;
A6NKF1	PF03399;
O94855	PF00626;PF08033;PF04815;PF04811;PF04810;
Q92541	PF03126;
Q9BWG6	PF15805;PF15803;
Q9NP94	PF02535;
Q01959	PF00209;
Q6UVJ0	PF16531;PF18594;
Q9H228	PF00001;
Q9Y3D3	PF00886;
Q9UKG4	PF00939;
Q12872	PF09750;PF01805;
Q92552	PF10037;
Q9H0K1	PF00069;
Q92599	PF00735;
Q86TU7	PF09273;PF00856;
Q9NRG4	PF00856;PF01753;
Q96KF7	PF14937;
Q76I76	PF08766;PF00782;
O76094	PF08492;PF17004;PF13181;
O15370	PF00505;
Q2M3C7	PF05716;
P35326	PF14820;
A6NNA2	PF08312;PF15230;
Q9H3U7	PF07648;PF10591;PF00086;
Q05519	PF00076;
P32745	PF00001;
Q9UHV2	PF06031;
Q8WV41	PF10456;PF00787;PF14604;
O15524	PF00017;PF07525;
P36952	PF00079;
P12931	PF07714;PF00017;PF00018;
Q9UMY4	PF00787;
Q15208	PF00069;PF00433;
Q9BR01	PF00685;
Q8TBR4	PF08514;
O95630	PF01398;PF08969;
Q8N300	PF15674;
Q8IV01	PF00168;
Q86TB9	PF09770;
Q8TEW8	PF12053;PF00595;
Q9HCL0	PF00028;PF08266;
P51160	PF01590;PF00233;
Q9H999	PF03630;
P49585	PF01467;
Q9H6A9	PF05041;
O00764	PF08543;
Q9NST1	PF01734;
Q9BZ71	PF02862;
Q8TBF5	PF08320;
Q00G26	PF03036;
O60240	PF03036;
Q8IYJ0	PF15298;
P37287	PF00534;PF08288;
Q9Y342	PF01284;
O94827	PF00621;
P18669	PF00300;
P35232	PF01145;
Q5SXH7	PF00169;
Q8IZ21	PF02755;
Q96KR7	PF02755;
Q99569	PF00514;
P53816	PF04970;
O15212	PF01920;
P20265	PF00046;PF00157;
P86480	PF15708;
P00491	PF01048;
Q9NQV6	PF00096;PF12171;
Q92733	PF10253;
P28072	PF00227;
Q8N271	PF05478;
Q8NHR9	PF00235;
Q16557	PF13895;PF07686;
P02810	PF15240;
Q9HD43	PF00041;PF00102;
P11686	PF04089;PF08999;
P24386	PF00996;
P07919	PF02320;
Q5T6V5	PF10343;
P17812	PF06418;PF00117;
Q9BZG1	PF00071;
O95294	PF00779;PF00168;PF00169;PF00616;
Q9H4I0	PF04824;PF04825;
Q9NW13	PF00076;
P00797	PF07966;PF00026;
Q96QB1	PF00620;PF07647;PF01852;
Q8TB24	PF02204;
Q99578	PF00071;
P62750	PF00276;PF03939;
Q9NSD7	PF00001;
O43567	PF02225;PF13639;
P78317	PF13639;
Q8N5N7	PF10501;
Q5TBB1	PF09468;PF17745;
Q8WVD3	PF05605;PF18574;
O15446	PF08208;
Q9H9Y2	PF04427;
Q9Y4G8	PF00595;PF00788;PF00617;PF00618;
Q14690	PF00575;PF05843;
Q5VZM2	PF04670;
P62277	PF08069;PF00312;
P62269	PF00416;
Q96DX4	PF00622;
Q8N6K7	PF00536;
Q96GQ5	PF04884;
Q9BY42	PF04641;
P35542	PF00277;
Q9BWD3	PF16297;
Q9C0K1	PF02535;
Q9NZJ4	PF05168;PF00240;
P08621	PF00076;PF12220;
Q6IA17	PF01582;
Q96ST3	PF02671;PF08295;PF16879;
Q5TAH2	PF00027;PF00999;
Q8WWX9	PF08806;
O15304	PF05458;
Q9BVH7	PF00777;
Q5HYK7	PF00018;PF07653;PF14604;
O43175	PF00389;PF02826;
Q9Y617	PF00266;
P84022	PF03165;PF03166;
Q8NDV3	PF06470;PF02463;
Q99717	PF03165;PF03166;
Q9H040	PF10263;
Q13813	PF13499;PF08726;PF00018;PF00435;
Q9Y6N5	PF07992;
Q9UPR3	PF10374;PF10373;PF13638;
A8MU46	PF00307;
Q8NEY3	PF06294;
Q9BXU1	PF00069;PF00567;
Q8NE28	PF00069;
Q9UEE5	PF00069;
Q9P2P6	PF00498;PF00225;PF01852;
P52630	PF00017;PF12188;PF01017;PF02864;PF02865;
P42226	PF00017;PF14596;PF01017;PF02864;PF02865;
A4D263	PF15073;
Q8WWQ8	PF12947;PF02469;PF00193;
Q9BRV3	PF03083;
Q12846	PF05739;PF00804;
Q9C0K7	PF00069;
Q9BVX2	PF07092;
Q15560	PF08711;PF01096;PF07500;
Q14DG7	PF16070;PF15706;PF15705;
P19484	PF11851;PF00010;PF15951;
Q9Y4R8	PF10193;
P21675	PF00439;PF12157;PF09247;PF15288;
Q8WW35	PF03645;
Q99593	PF00907;
Q99426	PF01302;PF14560;
P10600	PF00019;PF00688;
Q6ZNM6	PF14983;
P40227	PF00118;
O60682	PF00010;
Q9UHF3	PF00583;
Q14919	PF00808;
Q8TBE9	PF13419;
P28331	PF00384;PF10588;PF09326;
Q9Y2G5	PF10250;
Q8NGS7	PF13853;
A6NM03	PF13853;
Q8NH76	PF13853;
Q8NGH5	PF13853;
Q8NGY1	PF13853;
Q8NGH6	PF13853;
Q15612	PF13853;
Q8NGS0	PF13853;
Q9P0S3	PF04061;
Q96G74	PF02338;
Q96R84	PF13853;
Q5BKU9	PF09791;
Q8NGU1	PF13853;
Q8TDS5	PF00001;
P47888	PF13853;
Q8NGI6	PF13853;
O76100	PF13853;
Q8NGD3	PF13853;
Q8NH42	PF13853;
Q8NGD5	PF13853;
P47893	PF13853;
Q5TZ20	PF13853;
O95948	PF02376;PF00046;
Q8NGL4	PF13853;
Q9GZM6	PF13853;
Q8NH51	PF13853;
P05165	PF02785;PF00289;PF00364;PF02786;PF18140;
Q9NVV4	PF03828;PF17797;
Q8TAB3	PF00028;PF08266;
Q15365	PF00013;
P01298	PF00159;
Q99943	PF01553;
Q9GZP4	PF06201;
Q9Y5Y5	PF08610;
Q96AD5	PF01734;
O75925	PF14324;PF02891;
Q96J94	PF08699;PF05831;PF02170;PF02171;
Q9H0N5	PF01329;
Q9NRX4	PF05005;
Q9UF11	PF00169;
Q8TCW9	PF00001;
Q96FC7	PF00041;
P61758	PF02996;
Q8N490	PF16123;PF00753;
Q08209	PF00149;
Q6PJE2	PF00100;
A5A3E0	PF00022;PF12796;PF14915;
P27169	PF01731;
Q8NCQ7	PF05826;
Q96LW4	PF01896;
Q7Z6L0	PF04505;
P60673	PF00235;
Q9UQ72	PF13895;PF07686;
Q9Y248	PF05916;
Q92932	PF11548;PF14948;PF00102;
P49190	PF00002;PF02793;
Q9BRX8	PF13911;
O95456	PF16094;
P78406	PF00400;
P20337	PF00071;
Q8N4Z0	PF00071;
Q9BRK0	PF03134;
Q13123	PF07807;PF07808;
Q9HBH5	PF00106;
Q9GZR2	PF00929;
Q04864	PF16179;PF00554;
Q7LG56	PF00268;
A8MT19	PF03097;
Q6GYQ0	PF02145;
O94844	PF00651;PF00071;
P61586	PF00071;
Q7L0Q8	PF00071;
O14921	PF00615;
O43182	PF00620;
P18621	PF00237;
Q07020	PF17135;
P61353	PF00467;PF01777;
P18077	PF01247;
P42766	PF00831;
P32969	PF00347;
Q9H0F5	PF13639;
Q7Z7H8	PF00466;
Q86TS9	PF18699;
A6NIE6	PF05327;
Q6ZSG1	PF13639;
Q9BV68	PF13639;PF14369;
Q9Y508	PF05605;PF13445;PF18574;
O00411	PF00940;PF14700;
P04843	PF04597;
Q96KN7	PF00168;PF11618;PF18111;
Q16518	PF03055;
Q96J87	PF00076;
P15812	PF07654;PF16497;
Q8IUL8	PF13330;PF00090;
Q9NPF0	PF00057;
Q96KX1	PF15022;
P09564	PF07686;
Q07108	PF00059;
P27701	PF00335;
Q9UKJ5	PF10256;
Q9Y5K6	PF00018;PF14604;
P16671	PF01130;
P42695	PF12717;
P78357	PF00754;PF02210;
Q9Y281	PF00241;
Q9BXN2	PF00059;
Q8NBC4	PF17714;
Q9P2W6	PF15399;
Q96LP6	PF15380;
Q9NY35	PF13903;
Q6UXN8	PF00059;
P28340	PF00136;PF03104;PF14260;
P56159	PF02351;
Q9HBQ8	PF15070;
Q53GS7	PF07817;
O43681	PF02374;
Q9H1C3	PF01501;
Q92990	PF08568;
P20718	PF00089;
P22749	PF03489;
P34897	PF00464;
P13807	PF05693;
Q8IUE6	PF00125;PF16211;
P16401	PF00538;
O94927	PF14817;
P58876	PF00125;
Q9UBN7	PF00850;PF02148;
O43824	PF16360;PF13167;PF01926;
Q9BYW1	PF00083;
P34931	PF00012;
Q9NSC5	PF00568;
Q2M3T9	PF01630;
A0A0C4DH29	PF07686;
P57058	PF00069;
A0A0C4DH41	PF07686;
A0A0C4DH38	PF07686;
P42701	PF00041;
A0A0B4J1X8	PF07686;
Q96D96	PF00520;PF16799;
P52790	PF00349;PF03727;
Q2T9L4	PF15252;
P80217	PF07334;PF07292;
P24001	PF15225;
Q9NZH8	PF00340;
P08887	PF00047;PF09240;
P01567	PF00143;
O95976	PF07686;
O75054	PF07686;
P05155	PF00079;
P26440	PF00441;PF02770;PF02771;
Q86UX2	PF06668;PF08487;PF00092;
Q9P266	PF15351;
Q8N6L0	PF14658;PF14662;
O95251	PF01853;PF01530;PF17772;
Q15306	PF00605;PF10401;
P17301	PF01839;PF08441;PF00092;
Q96P70	PF03810;
Q16566	PF00069;
Q9H2U2	PF00719;
A0AUZ9	PF15275;
Q9NZN1	PF00047;PF18452;PF01582;
C9JR72	PF00651;PF01344;
Q01546	PF00038;PF16208;
P11215	PF01839;PF00357;PF08441;PF00092;
Q9UNZ5	PF09495;
P43631	PF00047;
P01624	PF07686;
O43474	PF00096;
O95600	PF00096;
A0A0C4DH55	PF07686;
A0A075B6P5	PF07686;
Q9NZS2	PF00059;
Q3LI59	PF11759;
O75449	PF00004;PF17862;
Q96G42	PF01344;
Q86WU2	PF02913;PF01565;
P15382	PF02060;
Q96J84	PF08205;PF07679;
Q5TDP6	PF00120;
A8MUM7	PF00337;
O00214	PF00337;
Q9Y383	PF03194;
Q5T7P2	PF14672;
P53671	PF00412;PF00595;PF07714;
Q569H4	PF15252;
A4QPB2	PF00058;
A0A0B4J1U3	PF07686;
P28300	PF01186;
Q56UN5	PF00069;
P01229	PF00007;
Q96DD0	PF12799;PF13855;
Q6P9F7	PF13306;PF13855;PF12534;
Q8IWT6	PF13855;PF12534;
Q9C0E8	PF10058;
Q86YD5	PF00057;
Q8N456	PF13855;
Q9P2G4	PF14925;
Q9BQA1	PF00400;
Q8IWU2	PF07714;
Q9H0U3	PF04756;
Q9NQ76	PF07175;
Q96MC5	PF12130;
P43357	PF01454;PF12440;
O95140	PF00350;PF04799;
Q8TDZ2	PF00307;PF12130;PF01494;PF00412;
Q8TC71	PF16026;
Q9UHC1	PF01119;PF08676;
P80294	PF00131;
P14780	PF00040;PF00045;PF00413;PF01471;
Q9NZJ7	PF00153;
Q8N159	PF04768;
Q9Y2A7	PF09735;
Q96NK8	PF00010;PF12533;
Q7L592	PF02636;
O75251	PF01058;
Q9H1R3	PF00069;
Q14938	PF00859;PF03165;PF10524;
Q96P20	PF14484;PF13516;PF05729;PF17776;PF17779;PF02758;
Q969S2	PF06831;
O95897	PF12308;PF02191;
P03897	PF00507;
P52948	PF04096;PF12110;
P37198	PF05064;
A6NH00	PF13853;
Q8NGI9	PF13853;
Q8N0Y5	PF13853;
Q6IFH4	PF13853;
Q8NGY3	PF13853;
Q8N6Y1	PF00028;
Q9Y5E7	PF00028;PF08266;PF16492;
F5H284	PF00160;
Q9Y5E2	PF00028;PF08266;PF16492;
Q9Y5F0	PF00028;PF08266;PF16492;
Q13258	PF00001;
Q3MUY2	PF15159;
Q9UMS5	PF12129;
O15120	PF01553;
Q9P0L9	PF08016;
Q96EK2	PF00628;
P00747	PF00051;PF00024;PF00089;
Q8N328	PF13843;
O75928	PF14324;PF02891;
Q8IWE5	PF00169;PF02759;
A1L4L8	PF04749;
Q9UPV7	PF16744;
Q9Y263	PF09070;PF08324;PF00400;
Q9UL42	PF14893;
Q07869	PF00104;PF00105;
P0DPQ3	PF15708;
P49642	PF01896;
Q15063	PF02469;
P04156	PF00377;PF11587;
O95428	PF05986;PF07679;PF00014;PF08686;PF00090;
Q9UKN5	PF00096;PF18445;
Q5SWA1	PF10472;PF10488;
Q6UWY2	PF00089;
Q8N3J5	PF00481;
Q5SGD2	PF00481;
P0C7W0	PF15248;
P51665	PF01398;PF13012;
P08758	PF00191;
Q8WW43	PF06105;
P61204	PF00025;
Q92625	PF12796;PF00640;PF00536;PF07647;
Q99873	PF13649;
Q8N8A2	PF12796;
P61966	PF01217;
Q9NR80	PF00169;PF00621;PF00018;
Q12797	PF05279;PF05118;
Q8TDY4	PF12796;PF01412;PF00169;
Q6ZMM2	PF05986;PF01759;PF00090;
Q96HB5	PF11819;
Q96LL4	PF15379;
Q5T280	PF02598;
Q9UHD4	PF02017;
P20273	PF08205;PF13895;
P10909	PF01093;
Q9Y240	PF00059;
B3EWG6	PF15825;
P39748	PF00867;PF00752;
P01100	PF00170;
O75015	PF13895;
O43320	PF00167;
P05230	PF00167;
O75955	PF01145;PF15975;
Q8NEA4	PF00646;
P63126	PF02337;PF00607;PF00098;
Q6Y7W6	PF02213;
P14136	PF00038;PF04732;
Q02153	PF00211;PF07700;PF07701;
P33402	PF00211;PF07700;PF07701;
Q12849	PF00076;
P32189	PF02782;PF00370;
Q9UKJ3	PF01585;PF12171;
O15529	PF00001;
Q8N3T1	PF00535;PF00652;
Q9NQS5	PF00001;
Q14409	PF02782;PF00370;
O15218	PF00001;
Q6IB77	PF08444;PF06021;
Q02846	PF01094;PF00211;PF07701;PF07714;
P16402	PF00538;
Q7RTV2	PF14497;PF02798;
P54257	PF04849;
P0CJ72	PF15040;
Q58FG1	PF00183;
Q9UBD0	PF00447;
Q9BPY8	PF00046;
A0A1B0GWH4	PF00447;
P10915	PF07686;PF00193;
Q9UG01	PF00400;
O00425	PF00013;PF00076;
O60841	PF00009;PF03144;PF11987;
P24394	PF09238;
P05198	PF07541;PF00575;
O14879	PF13176;PF13181;
P22692	PF00219;PF00086;
P50213	PF00180;
P32942	PF03921;
O95965	PF07974;
Q9BX67	PF07686;
P78415	PF05920;
Q1A5X6	PF15157;
Q13387	PF00640;PF14604;
P00995	PF00050;
O95678	PF00038;PF16208;
Q9HCP0	PF12605;PF00069;
P04433	PF07686;
Q96RR4	PF00069;
Q9BYQ2	PF13885;
Q6PID8	PF01344;
P60409	PF13885;
A6NCN2	PF00038;
P54315	PF00151;PF01477;
A0A075B6J2	PF07686;
O60449	PF00040;PF00059;
A0A075B6I1	PF07686;
Q2M2H8	PF01055;PF16863;PF00088;
Q8NBP5	PF07690;
Q9UL63	PF01344;PF06588;
Q8N4C8	PF00780;PF00069;
Q9NP71	PF00010;
Q495T6	PF01431;PF05649;
Q9ULH7	PF02755;PF02037;
Q8TF71	PF07690;
P12872	PF04643;PF04644;
Q13421	PF06060;
Q7L9L4	PF03637;
Q15800	PF04116;
P20592	PF01031;PF00350;PF02212;
Q13614	PF02893;PF06602;
Q13615	PF01363;PF06602;
Q9BT17	PF01926;
Q96MN2	PF13516;PF05729;PF17776;PF17779;PF02758;
Q9UK23	PF09992;
Q86W28	PF13516;PF05729;PF17776;PF17779;PF02758;
Q5TEU4	PF08241;
Q9Y618	PF15784;PF00249;
Q96SB3	PF00595;PF17817;
Q8TDC0	PF05556;
P02689	PF00061;
Q8IXF0	PF00989;PF08447;
P18615	PF00076;
Q99435	PF07645;PF02210;PF00093;
O75113	PF11977;
P80188	PF00061;
P17677	PF00612;PF06614;PF10580;
P07196	PF00038;PF04732;
Q9UMS0	PF08712;PF01106;
Q9Y6Y0	PF07707;PF00651;PF01344;
Q9Y239	PF00619;PF13516;PF05729;PF17776;PF17779;
P49281	PF01566;
Q9BS92	PF07978;
P03886	PF00146;
Q8WUM0	PF03177;
Q8TEA1	PF01189;
P03905	PF01059;PF00361;
P46459	PF00004;PF17862;PF02933;PF02359;
Q14973	PF01758;
Q8NH59	PF13853;
P0C628	PF13853;
P0C7T3	PF13853;
Q8NH60	PF13853;
P04001	PF00001;
Q8NGR2	PF13853;
Q9BPV8	PF00001;
Q9BQT8	PF00153;
Q96DC9	PF10275;
Q7Z4N8	PF13640;PF08336;
P0C7N5	PF13853;
O95918	PF13853;
Q9Y5N6	PF05460;
Q8NGV7	PF13853;
Q8NH21	PF13853;
Q8NGB6	PF13853;
Q6GTS8	PF07687;PF01546;
Q8NH83	PF13853;
Q8NH48	PF13853;
Q8NGG4	PF13853;
A6NF89	PF13853;
Q9Y5H9	PF00028;PF08266;PF15974;
Q9NXK6	PF03006;
Q06416	PF00046;PF00157;
P36955	PF00079;
Q8NCC3	PF02450;
Q9BPZ3	PF07145;
P04085	PF00341;PF04692;
Q8N4E4	PF02114;
O00625	PF02678;PF05726;
Q9UG56	PF02666;
Q32ZL2	PF01569;
Q7Z412	PF07163;
O00628	PF00400;
Q8NG27	PF13639;
Q6UXB8	PF00188;
P20941	PF02114;
Q9Y6X2	PF14324;PF02891;
Q8IVE3	PF00373;PF00784;PF00169;
Q9H7Z7	PF13417;
Q9ULL1	PF00621;
Q6PCE3	PF02878;PF02879;PF02880;PF00408;
Q8NFJ6	PF00001;
O15534	PF08447;PF12114;
P54278	PF01119;PF08676;
P11678	PF03098;
Q9HAB8	PF04127;
Q12837	PF00046;PF00157;
Q8IUK8	PF00386;
P14384	PF00246;
Q6MZZ7	PF01067;PF00648;
Q5BN46	PF14892;
O15519	PF01335;
Q9BRQ4	PF14926;
Q9Y6A4	PF05018;
Q8WU49	PF17702;
Q9H972	PF15394;
Q8IZL9	PF00069;
Q9NWW5	PF15156;
Q99439	PF00402;PF00307;
Q02388	PF01391;PF00041;PF00014;PF00092;
P56748	PF00822;
O75122	PF12348;
Q9P021	PF10235;
Q8WXF5	PF00030;
Q9UIM3	PF00515;
O43155	PF13855;PF01463;
Q8TAT2	PF06473;
Q9NWM8	PF13499;PF00254;
P22455	PF07679;PF07714;
P11362	PF18123;PF07679;PF00047;PF07714;
Q99689	PF07763;
P41439	PF03024;
Q15007	PF17098;
Q53EP0	PF00041;
Q6PJ61	PF12937;
Q8IX07	PF00096;
Q8IX29	PF12937;
Q9UKA1	PF12937;PF01814;PF13516;
P35575	PF01569;
Q9H227	PF00232;
Q9BRQ8	PF07992;
Q8N4A0	PF00535;PF00652;
O95954	PF02971;PF04961;PF07837;
P43694	PF00320;PF05349;
P19883	PF09289;PF07648;
P63211	PF00631;
Q96CP2	PF15423;
Q9NUV9	PF04548;
Q8IVS8	PF13660;PF05161;
Q04446	PF00128;PF02806;PF02922;
Q9P109	PF02485;
Q96RT8	PF04130;PF17681;
O14756	PF00106;
P57053	PF00125;
P06899	PF00125;
Q6DRA6	PF00125;
P57764	PF04598;PF17708;
Q9NRV9	PF04832;
Q96JK4	PF03024;PF07995;PF00530;
P54198	PF07569;PF09453;PF00400;
O94992	PF15313;
Q8TB92	PF00682;
B2RPK0	PF00505;PF09011;
Q8N201	PF12432;
Q9NPH3	PF18452;PF01582;
Q9NPH2	PF01658;PF07994;
P15814	PF07654;
P0DOX8	PF07654;PF07686;
P01854	PF07654;
P08069	PF00757;PF07714;PF01030;
Q86WN2	PF00143;
P78344	PF02847;PF02854;PF02020;
Q96MG2	PF15312;
Q9Y219	PF01414;PF00008;PF07645;PF12661;PF07657;
Q6IE38	PF00050;
P05783	PF00038;
Q8IYT4	PF00004;PF17862;PF08513;
Q5XKE5	PF00038;PF16208;
P20702	PF01839;PF00357;PF08441;PF00092;
Q4VXA5	PF16005;
Q9ULH0	PF12796;PF07693;
Q8NB78	PF01593;PF04433;PF07496;
P23276	PF01431;PF05649;
P60412	PF13885;
Q14681	PF02214;
Q8IUB9	PF11759;
P23919	PF02223;
Q9NPI9	PF01007;PF17655;
Q9BVG8	PF00225;
Q9BYT5	PF01500;
O00180	PF07885;
Q9BXB1	PF00001;PF13855;PF01462;
P01130	PF07645;PF00057;PF00058;
Q96PC2	PF03770;
O95202	PF07766;
O14910	PF02828;PF00595;
P09382	PF00337;
Q8TAF8	PF10242;
Q86VI4	PF03821;
Q96GA3	PF04180;
Q9P244	PF00041;PF07679;PF13855;
P43361	PF01454;PF12440;
P43359	PF12440;
Q9BTT4	PF09748;
Q9NTJ4	PF09261;PF17677;PF07748;PF01074;
O43772	PF00153;
Q5T0T0	PF12906;
Q9ULC4	PF17832;PF01472;
Q9H2W2	PF00046;
P61326	PF02792;
A1L020	PF00013;
O75900	PF00413;PF01549;
O43193	PF00001;
Q13613	PF02893;PF06602;
Q9NYA4	PF01363;PF06602;
Q9Y6Q9	PF07469;PF16279;PF08815;PF00989;PF08832;
O15394	PF00041;PF07679;
Q9H3R1	PF12062;PF00685;
Q16795	PF01370;
P20929	PF00880;PF14604;
Q00872	PF00041;PF07679;PF18362;
A7E2Y1	PF00063;PF02736;PF01576;
Q9Y2G1	PF13887;PF13888;PF05224;PF13884;
Q96E22	PF01255;
P78367	PF00046;
Q8NC96	PF07933;
P21359	PF13716;PF00616;
Q96P71	PF03992;PF13202;
Q14934	PF16179;PF00554;
Q9H9Q4	PF09302;
Q6KC79	PF12765;PF12830;
Q0D2K0	PF05653;
Q6P3R8	PF00069;
Q14994	PF00104;PF00105;
O00712	PF00859;PF03165;PF10524;
O00567	PF01798;PF08156;
Q9Y3T9	PF03715;
P30989	PF00001;
Q96HA8	PF09764;
Q96R54	PF13853;
O60502	PF07555;
Q6DKJ4	PF13905;
Q9UKK6	PF02136;
Q8NH53	PF13853;
Q9GZU5	PF13855;
Q5T2D3	PF02338;
Q8TE49	PF02338;PF01754;
Q13093	PF03403;
Q9NWU1	PF00109;PF02801;
Q9H1P3	PF01237;
Q14982	PF07679;
Q6IEV9	PF13853;
Q96R67	PF13853;
Q8NGL9	PF13853;
Q8NH79	PF13853;
A6NET4	PF13853;
O95222	PF13853;
Q8NH50	PF13853;
P23759	PF00046;PF00292;PF12360;
Q96S96	PF01161;
O95206	PF00028;PF08266;
Q8TD55	PF00169;
P14923	PF00514;
Q96QT6	PF00628;PF16737;
Q9NXJ5	PF01470;
Q8NBL1	PF05686;
Q9UPP1	PF17811;PF02373;PF00628;
Q9UL19	PF04970;
P80108	PF01839;PF00882;
Q9BZM1	PF06951;
P51805	PF08337;PF01437;PF01403;PF01833;PF18020;PF17960;
Q6XQN6	PF17956;PF17767;
Q8TCU6	PF00610;PF00621;
O60831	PF03208;
Q9H4Q4	PF00096;
P18440	PF00797;
Q9UII2	PF04568;
P56378	PF08039;
P51164	PF00287;
Q5H9F3	PF12796;PF15808;PF16553;
Q13515	PF00038;
Q14137	PF08145;PF00400;
Q6PGQ7	PF15280;
Q8N888	PF15808;
Q8WVV5	PF13765;PF00622;PF07686;
O60477	PF01823;
B7Z1M9	PF00168;
Q12982	PF12496;PF13716;
A8MW95	PF04111;PF17675;
Q92934	PF10514;
Q86UT8	PF14968;
O14867	PF00651;PF03131;
P07711	PF08246;PF00112;
P31415	PF01216;
Q9H0W5	PF14893;
P43234	PF00112;
O43570	PF00194;
Q6UW01	PF00386;
P56539	PF01146;
Q8TD31	PF07111;
Q9NXV6	PF11952;
Q9H251	PF00028;
Q9BRT8	PF02492;PF07683;
O95180	PF00520;
Q5SW79	PF15308;PF00498;
A0PJX0	PF13499;
Q9Y5I7	PF00822;
P10645	PF01271;
P10176	PF02285;
Q9NZ45	PF10660;PF09360;
Q6ZS10	PF00059;
Q8TEY5	PF00170;
O60519	PF07716;
Q9Y6Z7	PF01391;PF00059;
Q9Y3A0	PF05019;
Q9H8M1	PF03364;
O43169	PF00173;
Q6ZRH7	PF15064;
Q6ZN68	PF10034;
Q92841	PF00270;PF00271;
P14672	PF00083;
O43292	PF04114;
Q8TDQ0	PF07686;
P09488	PF14497;PF02798;
P09210	PF14497;PF02798;
Q96QA5	PF04598;PF17708;
Q71DI3	PF00125;
P48637	PF03917;PF03199;
O60443	PF04598;PF17708;
A8MV81	PF04588;
Q9Y662	PF00685;
P0CJ73	PF15040;
Q8IX15	PF05920;PF11569;
Q86UW8	PF07686;PF00193;
P01742	PF07686;
A0A0C4DH31	PF07686;
P01764	PF07686;
A0A0B4J2H0	PF07686;
A0A0J9YXX1	PF07686;
Q8WUF5	PF12796;PF14604;
P0DP07	PF07686;
A0A0B4J1V6	PF07686;
Q6ZVW7	PF15037;
Q8IU81	PF11261;PF00097;
Q9Y581	PF00049;
Q3SXM5	PF00106;
P01860	PF07654;
P09912	PF06140;
P01563	PF00143;
P01569	PF00143;
P01574	PF00143;
P22304	PF00884;
Q02363	PF00010;
Q9UK76	PF17054;
Q969R8	PF15907;
A6ND01	PF03024;
Q9ULL0	PF15262;
Q9ULG3	PF15084;
Q96AT1	PF15377;
Q15652	PF02373;
O14896	PF00605;PF10401;
P23229	PF01839;PF08441;
A1A4Y4	PF05049;
Q6PI47	PF02214;
Q9NZI2	PF13499;
Q9UJP4	PF07707;PF00651;PF01344;
P06312	PF07686;
Q9Y337	PF00089;
Q6PF15	PF07707;PF00651;PF01344;
B7ZC32	PF12423;PF00225;
O15229	PF01494;
Q9NSB4	PF00038;PF16208;
P12532	PF00217;PF02807;
O60662	PF07707;PF00651;PF01344;
Q53H82	PF17778;PF00753;
P30613	PF00224;PF02887;
Q8N1A0	PF00038;
Q8NG48	PF14695;PF14694;
Q9UGP4	PF00412;
Q9H2C1	PF00046;PF00412;
Q13753	PF00052;PF00053;
P11279	PF01299;
Q9Y2Q5	PF03259;
A6NIV6	PF12799;PF13855;
P0DM35	PF00131;
O75197	PF00057;PF00058;
A0A075B6H9	PF07686;
O95274	PF00021;
Q96A72	PF02792;
Q13434	PF15815;PF00097;PF18044;
P10916	PF13405;
Q16891	PF09731;
P09238	PF00045;PF00413;PF01471;
Q4VC12	PF01753;
Q9H492	PF02991;
Q96DY7	PF14920;PF14919;PF14918;
A1L3X4	PF00131;
Q8N119	PF00045;PF00413;PF01471;
Q9GZW8	PF04103;
Q9Y6C9	PF00153;
O94776	PF01426;PF01448;PF00320;PF17226;
Q9H867	PF10294;
Q86U44	PF05063;
Q6IN84	PF00588;PF08032;
O95255	PF00664;PF00005;
O15091	PF16953;
Q5HYI7	PF17171;PF10568;
Q9HC84	PF08742;PF13330;PF01826;PF00093;PF00094;
Q86T75	PF06758;
Q9BTE0	PF13302;
Q5VZE5	PF04112;
Q6N069	PF12569;PF07719;
Q9UGV2	PF03096;
Q86UY6	PF00583;
O95169	PF05821;
O75592	PF03256;PF08005;PF00415;PF08239;PF13639;
Q9UL68	PF08474;PF01530;
Q13402	PF00373;PF00612;PF00063;PF00784;
P04198	PF00010;PF01056;
O60551	PF01233;PF02799;
Q8IVI9	PF00611;PF14604;
Q9UM47	PF12796;PF11936;PF00008;PF07645;PF12661;PF06816;PF07684;PF00066;
Q3KNT7	PF01189;
P80303	PF13499;
P57740	PF04121;
Q8NH80	PF13853;
A6NHA9	PF13853;
Q8NGS5	PF13853;
Q8NGR1	PF13853;
A6NGY5	PF13853;
Q8NHA4	PF13853;
O95158	PF06312;
Q9NUU6	PF16218;
Q9Y585	PF13853;
Q3SX64	PF07004;
